,,,,,
Theme: Industry,,,,,
Subject: Tourism,,,,,
Topic: Hotel Industry,,,,,
"Table Title: Hotel Statistics, Monthly",,,,,
,,,,,
Data last updated: 02/01/2024,,,,,
Source: SINGAPORE TOURISM BOARD,,,,,
,,,,,
,,,,,
Data Series,Hotel Room Revenue ,Standard Average Room Rate ,Standard Average Hotel Occupancy Rate ,Gross Lettings (Room-Nights) ,Available Room-Nights 
  2023 Nov,408802.5,277.4,79,1472456,1864330
  2023 Oct,411839.4,278.4,77.8,1478676,1900715
  2023 Sep,493454.5,326.1,82.6,1512613,1831205
  2023 Aug,455909.3,286.9,85.9,1587706,1849140
  2023 Jul,485797.6,293,89.9,1642823,1826711
  2023 Jun,383722.2,270.9,80.4,1416161,1760937
  2023 May,398376.2,273.4,80,1456703,1820443
  2023 Apr,365893.9,273.8,77.4,1335974,1725748
  2023 Mar,364329.1,267,79.3,1364453,1720544
  2023 Feb,350994.8,276.4,83.6,1268443,1517076
  2023 Jan,318527.5,275.1,70.2,1157523,1648012
  2022 Dec,372002.3,288.3,78.1,1290049,1652592
  2022 Nov,390504.4,282.6,85.7,1381819,1611850
  2022 Oct,408724.5,285.5,84.3,1428376,1693879
  2022 Sep,387842.7,284.9,82.7,1355528,1638282
  2022 Aug,312508.1,251,77,1242312,1613047
  2022 Jul,316633.3,258.5,79.1,1220488,1542167
  2022 Jun,285411.8,240.9,78.1,1178729,1508925
  2022 May,231967.7,223.4,72.8,1035300,1422659
  2022 Apr,181792.1,207.2,66.4,873546,1315682
  2022 Mar,154392.1,192.3,60.6,799174,1319142
  2022 Feb,107563.2,193.1,62.7,555599,886503
  2022 Jan,102164.8,184.9,57.5,552185,959793
  2021 Dec,131882.5,223.8,74.3,588766,792231
  2021 Nov,101263.9,174,78,579783,743198
  2021 Oct,81555.6,159.5,64.4,507708,788834
  2021 Sep,77910.1,154.5,65.1,504266,774563
  2021 Aug,70278.6,151.7,56.1,463347,826277
  2021 Jul,70270.7,151.3,56.1,464342,827875
  2021 Jun,66144.3,144.9,54.6,452894,828799
  2021 May,69425.8,139,52.9,499484,943499
  2021 Apr,83131.9,155.9,52.7,533251,1011827
  2021 Mar,81373,150.6,51.4,539089,1048233
  2021 Feb,64460.5,152.4,44.2,422936,957525
  2021 Jan,68551.6,150.8,44.3,454413,1025455
  2020 Dec,113156.2,186.6,62,606305,977156
  2020 Nov,75209.2,154.6,54.2,486441,898017
  2020 Oct,74360.3,143.5,57.6,518190,899779
  2020 Sep,65589.1,125.7,63.1,521554,826251
  2020 Aug,64049.2,121,64.8,529518,817726
  2020 Jul,37825.8,83.4,66.4,447085,673407
  2020 Jun,33441.7,64.9,57,514964,902667
  2020 May,38270.2,64.5,59.3,593689,1001913
  2020 Apr,54612.1,88.7,40.4,615760,1522885
  2020 Mar,121760.7,170.6,40.2,713530,1776618
  2020 Feb,186474.1,224.3,49.1,831421,1694775
  2020 Jan,369259.6,231.1,83,1597859,1926285
  2019 Dec,371830.3,233.6,83,1587373,1912817
  2019 Nov,368506.3,224.5,88.8,1640436,1846820
  2019 Oct,372207.6,223.6,86.9,1661171,1911073
  2019 Sep,375892.7,235.4,87.1,1593343,1828671
  2019 Aug,383423.8,225.1,92.4,1693776,1832265
  2019 Jul,377573.2,218.7,93.9,1725297,1837350
  2019 Jun,319771.6,210.6,86.1,1517318,1761383
  2019 May,306710.4,206.5,82,1485293,1811517
  2019 Apr,324915,215,85.4,1509500,1767049
  2019 Mar,331225.1,214.8,84.3,1541773,1828569
  2019 Feb,328912.2,224.1,88.5,1467338,1658376
  2019 Jan,334808.5,215.9,84.7,1550957,1830834
  2018 Dec,329307.6,222,80.7,1483662,1837453
  2018 Nov,329039.9,218.6,84.9,1505190,1771864
  2018 Oct,347408.2,219.4,86.4,1583262,1833163
  2018 Sep,345938.6,229,85.3,1510715,1770305
