,,,,,,,,,,,
Theme: Industry,,,,,,,,,,,
Subject: Tourism,,,,,,,,,,,
Topic: International Visitor Arrivals (IVA),,,,,,,,,,,
"Table Title: International Visitor Arrivals By Inbound Tourism Markets, Monthly",,,,,,,,,,,
,,,,,,,,,,,
Data last updated: 02/01/2024,,,,,,,,,,,
Source: SINGAPORE TOURISM BOARD,,,,,,,,,,,
,,,,,,,,,,,
Data Series,Total International Visitor Arrivals By Inbound Tourism Markets (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Southeast Asia (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Greater China (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> North Asia (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> South Asia (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> West Asia (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Americas (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Europe (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Oceania (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Africa (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Others (Number)
  2023 Nov,1100459,418062,150216,84155,109955,10698,80022,141358,100963,4995,35
  2023 Oct,1125954,434922,177879,83818,114670,11379,60725,132679,104603,5233,46
  2023 Sep,1130760,404104,188758,94298,100567,13928,62765,137745,122983,5582,30
  2023 Aug,1312655,429650,289814,130642,104652,19790,62995,173126,95791,6130,65
  2023 Jul,1419641,519036,309869,103861,114733,22773,81637,144825,116877,5926,104
  2023 Jun,1129308,475812,167228,65648,133366,15806,70361,88537,107915,4575,60
  2023 May,1112506,456263,148053,68419,147713,9408,70426,113592,94072,4515,45
  2023 Apr,1128602,489334,150903,54012,114668,11604,61023,135413,106741,4812,92
  2023 Mar,1021040,414934,105132,71803,92470,12923,73624,161938,83827,4300,89
  2023 Feb,957840,376492,82278,97981,76883,9159,72702,156384,81765,4073,123
  2023 Jan,931681,362229,89323,78910,72231,8180,67901,131817,116788,4182,120
  2022 Dec,931441,438856,60836,52077,91730,10007,67342,102982,101182,6334,95
  2022 Nov,816340,358257,49506,54365,91381,9139,61086,109366,78869,4266,105
  2022 Oct,816833,374927,42415,45806,101510,9382,49922,103897,85122,3738,114
