,,,
Theme: Industry,,,
Subject: Tourism,,,
Topic: Outbound Departures of Singapore Residents,,,
"Table Title: Outbound Departures Of Singapore Residents By Mode Of Transport, Monthly",,,
,,,
Data last updated: 19/12/2023,,,
Source: IMMIGRATION AND CHECKPOINTS AUTHORITY,,,
,,,
Data Series,Total (Number),Total -> Air (Number),Total -> Sea (Number)
  2023 Nov,1036448,895327,141121
  2023 Oct,777270,670281,106989
  2023 Sep,783624,652970,130654
  2023 Aug,656424,548191,108233
  2023 Jul,636036,519196,116840
  2023 Jun,969256,794403,174853
  2023 May,759199,657227,101972
  2023 Apr,657974,544577,113397
  2023 Mar,768181,636737,131444
  2023 Feb,523720,437357,86363
  2023 Jan,576907,458936,117971
  2022 Dec,1000880,802372,198508
  2022 Nov,741814,616113,125701
  2022 Oct,567367,445703,121664
  2022 Sep,544151,423496,120655
  2022 Aug,439189,353053,86136
  2022 Jul,422172,340952,81220
  2022 Jun,476079,407812,68267
  2022 May,345768,311306,34462
  2022 Apr,231568,208609,22959
  2022 Mar,155153,139587,15566
  2022 Feb,112134,84048,28086
  2022 Jan,118153,85117,33036
  2021 Dec,172894,132771,40123
  2021 Nov,109791,74678,35113
  2021 Oct,76646,45254,31392
  2021 Sep,75218,41299,33919
  2021 Aug,57612,38396,19216
  2021 Jul,52215,34051,18164
  2021 Jun,50251,30694,19557
  2021 May,48587,29754,18833
  2021 Apr,50834,25895,24939
  2021 Mar,56512,26336,30176
  2021 Feb,43352,23013,20339
  2021 Jan,39195,24025,15170
  2020 Dec,51173,23810,27363
  2020 Nov,28202,18843,9359
  2020 Oct,16512,16312,200
  2020 Sep,16452,16320,132
  2020 Aug,13078,12936,142
  2020 Jul,10304,10151,153
  2020 Jun,8528,8399,129
  2020 May,6265,6213,52
  2020 Apr,5237,5156,81
  2020 Mar,207985,169903,38082
  2020 Feb,420253,336590,83663
  2020 Jan,759018,593898,165120
  2019 Dec,1271780,1029844,241936
  2019 Nov,1072972,874748,198224
